Tag	Gname	PromoterID	CTRL1	CTRL2	CTRL.mean	A1	A2	A.mean	relative_activity_diff	p_value
Up	Abcf2	130	0.933333333333333	0.884057971014493	0.908695652173913	0.794117647058824	0.766666666666667	0.780392156862745	-0.128303495311168	0.00140242787823048
Up	Abcf2	131	0.0666666666666665	0.115942028985507	0.091304347826087	0.205882352941176	0.233333333333333	0.219607843137255	0.128303495311168	0.00140242787823045
Up	Adcy6	575	0.605263157894737	0.594594594594595	0.599928876244666	0.488372093023256	0.475728155339806	0.482050124181531	-0.117878752063135	1.59889128234193e-05
Up	Adcy6	577	0.394736842105263	0.405405405405405	0.400071123755334	0.511627906976744	0.524271844660194	0.517949875818469	0.117878752063135	1.59889128234177e-05
Down	Add3	597	0.333333333333334	0.238095238095238	0.285714285714286	1	0.625	0.8125	0.526785714285714	0.00919529848606141
Down	Add3	599	0.666666666666666	0.761904761904762	0.714285714285714	0	0.375	0.1875	-0.526785714285714	0.0091952984860614
Up	Adk	684	0.394736842105264	0.382978723404255	0.38885778275476	0.5	0.510204081632653	0.505102040816326	0.116244258061567	1.32729927430869e-05
Up	Adk	685	0.605263157894737	0.617021276595745	0.611142217245241	0.5	0.489795918367347	0.494897959183674	-0.116244258061567	1.32729927430874e-05
Up	Agpat1	814	0.922413793103448	0.965034965034965	0.943724379069207	0.811320754716981	0.811475409836066	0.811398082276523	-0.132326296792683	0.00042373257917301
Up	Agpat1	816	0.0775862068965517	0.034965034965035	0.0562756209307933	0.188679245283019	0.188524590163934	0.188601917723477	0.132326296792683	0.000423732579173012
Switching	Ak1	914	0.38135593220339	0.372222222222223	0.376789077212806	0.122448979591837	0.181818181818182	0.152133580705009	-0.224655496507797	0.000204752526927302
Switching	Ak1	916	0.610169491525424	0.594444444444444	0.602306967984934	0.816326530612244	0.743801652892562	0.780064091752403	0.177757123767469	0.00115188316395259
Switching	Ak1	917	0.00847457627118644	0.0333333333333334	0.0209039548022599	0.0612244897959183	0.0743801652892562	0.0678023275425873	0.0468983727403274	0.00446061514644613
Switching	Akap7	971	0.305555555555555	0.343750000000001	0.324652777777778	0.928571428571429	0.666666666666666	0.797619047619047	0.472966269841269	0.00346180605304877
Switching	Akap7	973	0.694444444444445	0.656249999999999	0.675347222222222	0.0714285714285714	0.333333333333334	0.202380952380953	-0.472966269841269	0.00346180605304876
Down	Ankrd10	1310	0.421052631578947	0.436363636363636	0.428708133971292	0.249999999999999	0.294117647058824	0.272058823529412	-0.15664931044188	0.00031344427740106
Down	Ankrd10	1313	0.578947368421053	0.563636363636364	0.571291866028708	0.750000000000001	0.705882352941176	0.727941176470589	0.15664931044188	0.000313444277401071
Switching	Ankrd1	1308	0.976284584980237	0.958490566037736	0.967387575508986	0.705882352941176	0.730769230769232	0.718325791855204	-0.249061783653783	9.40730551546408e-06
Switching	Ankrd1	1309	0.0237154150197629	0.0415094339622641	0.0326124244910135	0.294117647058824	0.269230769230768	0.281674208144796	0.249061783653783	9.40730551546465e-06
Up	Anks1b	1409	0.658536585365854	0.744186046511628	0.701361315938741	0.519230769230769	0.486111111111111	0.50267094017094	-0.1986903757678	0.00169496871910959
Up	Anks1b	1411	0.195121951219512	0.116279069767442	0.155700510493477	0.346153846153846	0.4375	0.391826923076923	0.236126412583446	0.00247190689661616
Switching	Ap4e1	1535	0.363636363636365	0.263157894736842	0.313397129186604	0.571428571428571	0.555555555555555	0.563492063492063	0.250094934305459	0.00104273320799625
Switching	Ap4e1	1537	0.393939393939393	0.447368421052631	0.420653907496012	0.142857142857143	0.111111111111111	0.126984126984127	-0.293669780511885	8.15366761957572e-05
Down	Arhgef6	1873	0.5	0.516129032258066	0.508064516129033	0.25	0.333333333333333	0.291666666666667	-0.216397849462366	0.000907314061246398
Down	Arhgef6	1874	0.5	0.483870967741934	0.491935483870967	0.75	0.666666666666667	0.708333333333333	0.216397849462366	0.000907314061246403
Up	Atn1	2281	0.0416666666666666	0.0568181818181818	0.0492424242424242	0.27906976744186	0.191011235955057	0.235040501698458	0.185798077456034	0.00196885165766322
Up	Atn1	2282	0.958333333333333	0.943181818181818	0.950757575757576	0.72093023255814	0.808988764044943	0.764959498301542	-0.185798077456034	0.0019688516576632
Up	Atp5pf	2361	0.911111111111111	0.919902912621359	0.915507011866235	0.788461538461538	0.812917594654788	0.800689566558163	-0.114817445308072	0.000106319092429605
Up	Atp5pf	2362	0.0888888888888889	0.0800970873786406	0.0844929881337648	0.211538461538462	0.187082405345212	0.199310433441837	0.114817445308072	0.000106319092429606
Down	Brd8	3075	0.193548387096774	0.2	0.196774193548387	0	0.04	0.02	-0.176774193548387	0.000111709595914482
Down	Brd8	3078	0.806451612903226	0.8	0.803225806451613	1	0.96	0.98	0.176774193548387	0.000111709595914485
Up	Capg	3504	0.107843137254902	0.137583892617449	0.122713514936176	0.243421052631579	0.206060606060606	0.224740829346093	0.102027314409917	0.00177756207710565
Switching	Capn5	3517	0.0769230769230771	0.121212121212121	0.0990675990675992	0.333333333333333	0.555555555555556	0.444444444444444	0.345376845376845	0.00616993468529332
Switching	Capn5	3518	0.923076923076923	0.878787878787879	0.900932400932401	0.666666666666667	0.444444444444444	0.555555555555556	-0.345376845376845	0.00616993468529334
Up	Ccnt2	4060	0.448979591836735	0.346153846153846	0.397566718995291	0.615384615384616	0.648648648648649	0.632016632016633	0.234449913021342	0.00167819578317312
Up	Ccnt2	4061	0.551020408163265	0.653846153846154	0.602433281004709	0.384615384615384	0.351351351351351	0.367983367983367	-0.234449913021342	0.00167819578317312
Switching	Ccser2	4101	0.408163265306123	0.317460317460317	0.36281179138322	0.104166666666667	0.10989010989011	0.107028388278388	-0.255783403104832	0.000619974689650445
Switching	Ccser2	4103	0	0.0476190476190475	0.0238095238095238	0.166666666666667	0.0989010989010989	0.132783882783883	0.108974358974359	0.0103556393279916
Up	Cd82	4229	0.192708333333333	0.250478011472276	0.221593172402804	0.494736842105263	0.45771144278607	0.476224142445666	0.254630970042862	0.000211123307482424
Up	Cd82	4232	0.578125	0.565965583173996	0.572045291586998	0.291228070175439	0.349917081260365	0.320572575717902	-0.251472715869096	0.000130309475335705
Up	Cdc42ep5	4293	0.420168067226891	0.407142857142857	0.413655462184874	0.278350515463918	0.232283464566929	0.255316990015423	-0.158338472169451	0.000331182606805229
Up	Cdc42ep5	4294	0.579831932773109	0.592857142857143	0.586344537815126	0.721649484536082	0.767716535433071	0.744683009984577	0.158338472169451	0.000331182606805225
Up	Cdk16	4398	0.883495145631068	0.933333333333333	0.9084142394822	0.676923076923077	0.704545454545455	0.690734265734266	-0.217679973747935	0.00018840077963042
Up	Cdk16	4399	0.116504854368932	0.0666666666666666	0.0915857605177995	0.323076923076923	0.295454545454545	0.309265734265734	0.217679973747935	0.000188400779630423
Down	Celf2	4519	0.828125	0.740740740740741	0.78443287037037	0.571428571428572	0.5	0.535714285714286	-0.248718584656085	0.00158140804936688
Switching	Col18a1	5555	0.597014925373134	0.624463519313304	0.610739222343219	0.829268292682927	0.87683284457478	0.853050568628853	0.242311346285635	0.000106858735147457
Switching	Col18a1	5556	0.402985074626866	0.375536480686696	0.389260777656781	0.170731707317073	0.12316715542522	0.146949431371147	-0.242311346285635	0.000106858735147458
Down	Ctps1	6182	0.423645320197045	0.461538461538462	0.442591890867753	0.607142857142857	0.595744680851064	0.601443768996961	0.158851878129207	0.000155049929103014
Down	Ctps1	6183	0.576354679802955	0.538461538461538	0.557408109132247	0.392857142857143	0.404255319148936	0.398556231003039	-0.158851878129208	0.000155049929103012
Up	Cx3cl1	6283	0.991596638655462	0.977611940298508	0.984604289476985	0.865384615384616	0.9	0.882692307692308	-0.101911981784677	0.000697560960881301
Up	Cx3cl1	6284	0.00840336134453781	0.0223880597014925	0.0153957105230151	0.134615384615384	0.1	0.117307692307692	0.101911981784677	0.000697560960881327
Up	Cyp4f17	6456	0.411764705882353	0.416666666666666	0.414215686274509	0.571428571428571	0.513513513513513	0.542471042471042	0.128255356196533	0.00157347236278772
Up	Cyp4f17	6457	0.588235294117647	0.583333333333334	0.585784313725491	0.428571428571429	0.486486486486487	0.457528957528958	-0.128255356196533	0.0015734723627877
